Time,therm_sens,therm_pref,location,Name.ID
11/28/2016 14:51,-0.7,Warmer,Indoor,ID_1
11/28/2016 14:59,-0.6,Warmer,Indoor,ID_1
11/28/2016 15:49,0.8,No Change,Indoor,ID_1
11/28/2016 16:59,0.3,No Change,Indoor,ID_1
11/28/2016 18:11,-1.1,Warmer,Indoor,ID_1
11/28/2016 19:55,1.3,Cooler,Indoor,ID_1
11/28/2016 21:15,0.2,No Change,Indoor,ID_1
11/28/2016 22:01,-0.4,Warmer,Indoor,ID_1
11/28/2016 22:59,0.5,No Change,Indoor,ID_1
11/28/2016 23:59,-0.4,Warmer,Indoor,ID_1
11/29/2016 0:59,-0.9,Warmer,Outdoor,ID_1
11/29/2016 8:03,-1.5,Warmer,Indoor,ID_1
11/29/2016 8:59,-0.7,Warmer,Indoor,ID_1
11/29/2016 9:59,0.6,No Change,Indoor,ID_1
11/29/2016 10:59,1.4,Cooler,Indoor,ID_1
11/29/2016 11:59,0.2,No Change,Indoor,ID_1
11/29/2016 13:03,-0.3,No Change,Indoor,ID_1
11/29/2016 14:05,0.3,No Change,Indoor,ID_1
11/29/2016 14:59,0.3,No Change,Indoor,ID_1
11/29/2016 18:51,-1.2,Warmer,Indoor,ID_1
11/29/2016 19:59,-0.6,Warmer,Indoor,ID_1
11/29/2016 21:09,-0.4,Warmer,Indoor,ID_1
11/29/2016 21:58,0.5,No Change,Indoor,ID_1
11/29/2016 22:10,0.6,No Change,Indoor,ID_1
11/29/2016 23:08,-0.8,Warmer,Indoor,ID_1
11/30/2016 8:37,-0.7,Warmer,Indoor,ID_1
11/30/2016 10:07,0.5,No Change,Indoor,ID_1
11/30/2016 10:59,-0.5,No Change,Indoor,ID_1
11/30/2016 11:59,-0.5,No Change,Indoor,ID_1
11/30/2016 12:59,-0.6,Cooler,Indoor,ID_1
11/30/2016 14:06,0.2,No Change,Indoor,ID_1
11/30/2016 14:59,0.4,No Change,Indoor,ID_1
11/30/2016 15:59,0.4,Cooler,Indoor,ID_1
11/30/2016 16:19,-1,Warmer,Indoor,ID_1
11/30/2016 17:59,-0.4,Warmer,Indoor,ID_1
11/30/2016 18:59,0.3,No Change,Indoor,ID_1
11/30/2016 19:56,0.5,No Change,Indoor,ID_1
11/30/2016 20:10,-0.5,Warmer,Indoor,ID_1
11/30/2016 20:59,-0.6,No Change,Indoor,ID_1
11/30/2016 22:00,-0.5,Warmer,Indoor,ID_1
12/1/2016 7:54,-1.5,Warmer,Indoor,ID_1
12/1/2016 9:09,0.7,Cooler,Indoor,ID_1
12/1/2016 12:59,0.6,No Change,Outdoor,ID_1
12/1/2016 13:59,0.2,No Change,Indoor,ID_1
12/1/2016 14:59,-0.2,No Change,Indoor,ID_1
12/1/2016 17:12,-0.3,No Change,Indoor,ID_1
12/1/2016 17:59,-0.3,No Change,Indoor,ID_1
12/1/2016 19:01,-0.6,Warmer,Indoor,ID_1
12/1/2016 20:29,-0.7,Warmer,Indoor,ID_1
12/1/2016 21:12,-1,Warmer,Indoor,ID_1
12/2/2016 8:59,-0.3,No Change,Indoor,ID_1
12/2/2016 10:36,-0.4,Warmer,Indoor,ID_1
12/2/2016 10:59,0.5,Cooler,Indoor,ID_1
12/2/2016 11:59,0.3,Cooler,Indoor,ID_1
12/2/2016 13:17,-0.5,No Change,Indoor,ID_1
12/2/2016 14:09,0.4,Cooler,Indoor,ID_1
12/2/2016 15:07,-0.6,No Change,Indoor,ID_1
12/2/2016 16:13,0.4,No Change,Indoor,ID_1
12/2/2016 16:59,-0.5,No Change,Indoor,ID_1
12/2/2016 17:55,0.2,No Change,Indoor,ID_1
12/2/2016 19:01,-1.3,Warmer,Indoor,ID_1
12/2/2016 20:59,-0.2,No Change,Indoor,ID_1
12/2/2016 23:20,-0.5,Warmer,Indoor,ID_1
12/3/2016 9:51,-0.5,Warmer,Indoor,ID_1
12/3/2016 11:08,-0.4,Warmer,Indoor,ID_1
12/3/2016 13:15,0.6,Cooler,Indoor,ID_1
12/3/2016 13:33,0.5,Cooler,Indoor,ID_1
12/3/2016 13:34,0.5,Cooler,Indoor,ID_1
12/3/2016 14:00,0.9,Cooler,Indoor,ID_1
12/3/2016 16:59,-0.9,Warmer,Outdoor,ID_1
12/3/2016 18:26,-0.5,No Change,Indoor,ID_1
12/3/2016 20:01,0.2,No Change,Indoor,ID_1
12/3/2016 20:59,0.2,No Change,Indoor,ID_1
12/3/2016 21:59,0.6,No Change,Indoor,ID_1
12/4/2016 10:11,-0.6,No Change,Indoor,ID_1
12/4/2016 10:59,0.1,No Change,Indoor,ID_1
12/4/2016 12:06,0.7,Cooler,Indoor,ID_1
12/4/2016 12:59,0.3,No Change,Indoor,ID_1
12/4/2016 14:16,-0.5,Warmer,Indoor,ID_1
12/4/2016 14:59,0.4,Cooler,Indoor,ID_1
12/4/2016 15:59,0.1,No Change,Indoor,ID_1
12/4/2016 17:02,0.2,No Change,Outdoor,ID_1
12/4/2016 19:01,-0.7,No Change,Indoor,ID_1
12/4/2016 20:59,0.3,No Change,Indoor,ID_1
12/4/2016 21:59,0.4,No Change,Indoor,ID_1
12/4/2016 22:59,-0.4,No Change,Indoor,ID_1
12/5/2016 8:59,-0.3,No Change,Indoor,ID_1
12/5/2016 10:59,-0.5,No Change,Indoor,ID_1
12/5/2016 13:58,0.8,No Change,Indoor,ID_1
12/5/2016 14:58,-0.3,No Change,Indoor,ID_1
12/5/2016 16:27,-0.2,No Change,Indoor,ID_1
12/5/2016 17:24,-0.4,Warmer,Indoor,ID_1
12/5/2016 18:59,-0.2,No Change,Indoor,ID_1
12/5/2016 19:59,-0.5,No Change,Outdoor,ID_1
12/5/2016 20:59,-0.5,Warmer,Indoor,ID_1
12/5/2016 21:59,-0.5,Cooler,Indoor,ID_1
12/5/2016 22:59,-0.5,Warmer,Indoor,ID_1
12/6/2016 9:39,-0.5,Warmer,Indoor,ID_1
12/6/2016 12:41,0.4,No Change,Indoor,ID_1
12/6/2016 15:10,-0.5,No Change,Indoor,ID_1
12/6/2016 16:08,0.3,Cooler,Indoor,ID_1
12/6/2016 16:59,-0.3,No Change,Indoor,ID_1
12/6/2016 18:00,-0.5,Warmer,Indoor,ID_1
12/6/2016 20:05,0.4,No Change,Indoor,ID_1
12/6/2016 21:04,-0.7,Warmer,Indoor,ID_1
12/6/2016 22:00,-0.5,Warmer,Indoor,ID_1
12/6/2016 23:00,-0.1,No Change,Indoor,ID_1
12/7/2016 9:03,-0.6,Warmer,Indoor,ID_1
12/7/2016 9:46,0.3,No Change,Indoor,ID_1
12/7/2016 10:09,0.4,No Change,Indoor,ID_1
12/7/2016 10:59,0.2,No Change,Indoor,ID_1
12/7/2016 11:59,-0.5,Warmer,Indoor,ID_1
12/7/2016 15:59,-0.2,Warmer,Indoor,ID_1
12/7/2016 16:59,-0.4,Warmer,Indoor,ID_1
12/7/2016 19:04,-0.7,No Change,Indoor,ID_1
12/7/2016 19:59,-0.8,Warmer,Indoor,ID_1
12/8/2016 8:05,-0.9,Warmer,Indoor,ID_1
12/8/2016 9:40,-0.8,Warmer,Indoor,ID_1
12/8/2016 9:59,-0.4,Warmer,Indoor,ID_1
12/8/2016 10:59,-0.4,Warmer,Indoor,ID_1
12/8/2016 14:01,-0.2,No Change,Indoor,ID_1
12/8/2016 15:59,0.3,No Change,Indoor,ID_1
12/8/2016 17:00,-0.2,No Change,Indoor,ID_1
12/8/2016 20:23,-0.4,Warmer,Indoor,ID_1
12/8/2016 20:59,-0.2,No Change,Indoor,ID_1
12/9/2016 7:59,-0.3,Warmer,Indoor,ID_1
12/9/2016 8:59,-0.4,Warmer,Indoor,ID_1
12/9/2016 10:33,-0.4,Warmer,Indoor,ID_1
12/9/2016 10:59,-0.1,Cooler,Indoor,ID_1
12/9/2016 11:13,0.2,No Change,Indoor,ID_1
12/9/2016 11:59,0.6,No Change,Indoor,ID_1
12/9/2016 13:13,0.2,No Change,Indoor,ID_1
12/9/2016 13:59,-0.5,Warmer,Indoor,ID_1
12/9/2016 15:59,-0.4,No Change,Indoor,ID_1
12/9/2016 23:10,-0.5,Warmer,Indoor,ID_1
12/10/2016 10:59,-0.3,Warmer,Indoor,ID_1
12/10/2016 11:59,-0.5,No Change,Indoor,ID_1
12/10/2016 16:59,-0.5,Warmer,Indoor,ID_1
12/10/2016 19:01,-0.5,Warmer,Outdoor,ID_1
12/10/2016 20:59,-0.4,Warmer,Indoor,ID_1
12/10/2016 23:47,-0.4,No Change,Indoor,ID_1
12/11/2016 11:00,-0.4,No Change,Indoor,ID_1
12/11/2016 11:53,0.5,No Change,Indoor,ID_1
12/11/2016 12:00,0.3,Warmer,Indoor,ID_1
12/11/2016 12:58,-0.3,No Change,Indoor,ID_1
12/11/2016 13:59,-0.3,No Change,Indoor,ID_1
12/11/2016 18:59,-0.6,Warmer,Indoor,ID_1
12/11/2016 19:59,-0.5,No Change,Indoor,ID_1
12/11/2016 20:15,-0.1,No Change,Indoor,ID_1
12/11/2016 20:59,-0.2,No Change,Indoor,ID_1
12/11/2016 21:59,-0.3,No Change,Indoor,ID_1
12/12/2016 10:57,-0.5,Warmer,Indoor,ID_1
4/3/2017 7:45,-1,Warmer,Indoor,ID_2
4/3/2017 8:38,-0.5,Warmer,Indoor,ID_2
4/3/2017 9:03,0.5,No Change,Indoor,ID_2
4/3/2017 9:16,0.9,No Change,Indoor,ID_2
4/3/2017 9:42,0.3,No Change,Indoor,ID_2
4/3/2017 10:45,0.5,No Change,Indoor,ID_2
4/3/2017 12:04,-0.3,No Change,Indoor,ID_2
4/3/2017 12:56,-0.8,Warmer,Indoor,ID_2
4/3/2017 13:31,0.2,No Change,Indoor,ID_2
4/3/2017 13:47,0.3,No Change,Indoor,ID_2
4/3/2017 14:25,1.2,No Change,Outdoor,ID_2
4/3/2017 14:49,0.4,No Change,Indoor,ID_2
4/3/2017 15:53,0.3,No Change,Indoor,ID_2
4/3/2017 16:59,-0.6,Warmer,Indoor,ID_2
4/3/2017 17:46,-0.2,No Change,Indoor,ID_2
4/3/2017 18:45,-0.2,No Change,Indoor,ID_2
4/3/2017 19:47,0.4,No Change,Indoor,ID_2
4/3/2017 20:55,0.7,Cooler,Indoor,ID_2
4/3/2017 21:33,0.4,No Change,Indoor,ID_2
4/3/2017 22:51,0.5,No Change,Indoor,ID_2
4/4/2017 7:19,-0.3,No Change,Indoor,ID_2
4/4/2017 9:02,-0.4,No Change,Indoor,ID_2
4/4/2017 9:42,0.9,No Change,Indoor,ID_2
4/4/2017 10:19,0.8,No Change,Indoor,ID_2
4/4/2017 10:46,0.3,No Change,Indoor,ID_2
4/4/2017 12:05,0.7,Cooler,Indoor,ID_2
4/4/2017 14:13,-0.1,No Change,Indoor,ID_2
4/4/2017 14:43,0,No Change,Indoor,ID_2
4/4/2017 15:54,0.1,Cooler,Indoor,ID_2
4/4/2017 16:43,-0.2,No Change,Indoor,ID_2
4/4/2017 17:43,-1.1,Warmer,Indoor,ID_2
4/4/2017 18:43,-0.2,No Change,Indoor,ID_2
4/4/2017 19:44,-0.2,No Change,Indoor,ID_2
4/4/2017 20:44,-0.2,No Change,Indoor,ID_2
4/4/2017 21:43,0.6,Cooler,Indoor,ID_2
4/4/2017 22:44,-0.3,Warmer,Indoor,ID_2
4/5/2017 7:53,-0.2,No Change,Indoor,ID_2
4/5/2017 8:21,-0.5,No Change,Indoor,ID_2
4/5/2017 9:15,0.8,No Change,Indoor,ID_2
4/5/2017 10:39,-0.3,No Change,Indoor,ID_2
4/5/2017 11:46,-0.3,No Change,Indoor,ID_2
4/5/2017 13:07,0.5,Cooler,Indoor,ID_2
4/5/2017 13:54,0.3,No Change,Indoor,ID_2
4/5/2017 14:43,0.1,Cooler,Indoor,ID_2
4/5/2017 15:52,-0.4,No Change,Indoor,ID_2
4/5/2017 16:44,0.3,Cooler,Indoor,ID_2
4/5/2017 17:53,0.5,Cooler,Indoor,ID_2
4/5/2017 19:59,-0.2,No Change,Indoor,ID_2
4/5/2017 20:29,0.3,No Change,Indoor,ID_2
4/5/2017 20:58,0.6,No Change,Indoor,ID_2
4/5/2017 21:43,-0.2,No Change,Indoor,ID_2
4/6/2017 7:44,-0.4,Warmer,Indoor,ID_2
4/6/2017 8:53,-0.2,No Change,Indoor,ID_2
4/6/2017 10:36,-0.6,Warmer,Indoor,ID_2
4/6/2017 11:25,0.5,No Change,Indoor,ID_2
4/6/2017 11:51,-0.4,No Change,Indoor,ID_2
4/6/2017 12:45,-0.2,No Change,Indoor,ID_2
4/6/2017 14:00,0.3,Cooler,Indoor,ID_2
4/6/2017 14:58,0.7,Cooler,Indoor,ID_2
4/6/2017 16:45,0.3,Cooler,Indoor,ID_2
4/6/2017 17:48,-0.2,No Change,Indoor,ID_2
4/6/2017 18:53,0.2,No Change,Indoor,ID_2
4/6/2017 19:59,0.5,Cooler,Indoor,ID_2
4/6/2017 20:51,0.3,Cooler,Indoor,ID_2
4/6/2017 22:03,0.6,Cooler,Indoor,ID_2
4/6/2017 22:55,0.9,Cooler,Indoor,ID_2
4/7/2017 7:32,0.5,Cooler,Indoor,ID_2
4/7/2017 7:57,0.3,Cooler,Indoor,ID_2
4/7/2017 9:01,0.3,No Change,Indoor,ID_2
4/7/2017 9:48,0.3,Cooler,Indoor,ID_2
4/7/2017 10:47,-0.2,No Change,Indoor,ID_2
4/7/2017 13:24,-0.2,No Change,Indoor,ID_2
4/7/2017 13:43,-1.2,Warmer,Indoor,ID_2
4/7/2017 14:55,0.5,Cooler,Indoor,ID_2
4/7/2017 16:32,-0.4,No Change,Indoor,ID_2
4/7/2017 16:42,-0.5,No Change,Indoor,ID_2
4/7/2017 18:21,-0.7,No Change,Indoor,ID_2
4/7/2017 19:43,0.5,Cooler,Indoor,ID_2
4/7/2017 23:36,0.6,Cooler,Indoor,ID_2
4/8/2017 9:43,0.3,No Change,Indoor,ID_2
4/8/2017 10:43,-0.3,No Change,Indoor,ID_2
4/8/2017 11:36,-1.4,Warmer,Outdoor,ID_2
4/8/2017 12:46,0.7,No Change,Indoor,ID_2
4/8/2017 13:50,-0.2,No Change,Indoor,ID_2
4/8/2017 14:53,-1,Warmer,Outdoor,ID_2
4/8/2017 15:48,0.9,Cooler,Indoor,ID_2
4/8/2017 17:06,0.7,No Change,Outdoor,ID_2
4/8/2017 20:43,0.4,Cooler,Indoor,ID_2
4/8/2017 21:36,-0.2,Cooler,Indoor,ID_2
4/9/2017 0:06,-0.7,No Change,Indoor,ID_2
4/9/2017 11:56,0.5,Cooler,Indoor,ID_2
4/9/2017 14:38,-0.3,No Change,Indoor,ID_2
4/9/2017 15:12,-0.4,No Change,Indoor,ID_2
4/9/2017 16:17,-0.6,No Change,Indoor,ID_2
4/9/2017 17:12,-0.3,Warmer,Indoor,ID_2
4/9/2017 19:42,0.4,No Change,Indoor,ID_2
4/9/2017 22:05,-0.2,Cooler,Indoor,ID_2
4/10/2017 7:50,0.3,No Change,Indoor,ID_2
4/10/2017 8:56,0.5,No Change,Indoor,ID_2
4/10/2017 9:52,0.9,Cooler,Indoor,ID_2
4/10/2017 10:40,0.4,No Change,Indoor,ID_2
4/10/2017 11:15,0.8,No Change,Outdoor,ID_2
4/10/2017 11:45,0.3,No Change,Indoor,ID_2
4/10/2017 12:50,-0.4,No Change,Indoor,ID_2
4/10/2017 15:27,0.3,Cooler,Indoor,ID_2
4/10/2017 16:49,0.5,Cooler,Indoor,ID_2
4/10/2017 17:46,0.5,No Change,Indoor,ID_2
4/10/2017 18:53,-0.6,No Change,Outdoor,ID_2
4/10/2017 21:34,0.7,Cooler,Indoor,ID_2
4/10/2017 22:43,0.3,Cooler,Indoor,ID_2
4/11/2017 7:54,-0.4,No Change,Indoor,ID_2
4/11/2017 8:44,-0.4,Warmer,Indoor,ID_2
4/11/2017 10:28,-0.5,No Change,Outdoor,ID_2
4/11/2017 10:44,-0.3,Cooler,Indoor,ID_2
4/11/2017 12:45,-0.7,Warmer,Outdoor,ID_2
4/11/2017 13:44,-0.6,Warmer,Indoor,ID_2
4/11/2017 14:48,0.3,Cooler,Indoor,ID_2
4/11/2017 15:47,0.8,Cooler,Indoor,ID_2
4/11/2017 16:43,-0.6,Warmer,Indoor,ID_2
4/11/2017 17:44,-0.5,Warmer,Indoor,ID_2
4/11/2017 18:48,-0.7,Warmer,Indoor,ID_2
4/11/2017 19:49,0.4,No Change,Indoor,ID_2
4/11/2017 20:43,-0.3,No Change,Indoor,ID_2
4/12/2017 8:44,-0.3,No Change,Indoor,ID_2
4/12/2017 9:47,-0.3,No Change,Indoor,ID_2
4/12/2017 10:43,-0.5,Warmer,Indoor,ID_2
4/12/2017 12:44,-0.3,Warmer,Indoor,ID_2
4/12/2017 14:43,0.1,Cooler,Indoor,ID_2
4/12/2017 15:43,-0.3,No Change,Indoor,ID_2
4/12/2017 16:44,-0.4,No Change,Indoor,ID_2
4/12/2017 17:43,-0.9,Warmer,Indoor,ID_2
4/12/2017 18:45,-0.3,No Change,Indoor,ID_2
4/12/2017 19:48,0.6,No Change,Indoor,ID_2
4/12/2017 21:43,0.3,Cooler,Indoor,ID_2
4/13/2017 6:47,-0.4,Warmer,Indoor,ID_2
4/13/2017 8:05,-1.1,Warmer,Indoor,ID_2
4/13/2017 9:02,-0.1,Warmer,Indoor,ID_2
4/13/2017 10:12,-0.3,No Change,Indoor,ID_2
4/13/2017 10:45,-0.5,Warmer,Indoor,ID_2
4/13/2017 11:59,-0.5,Warmer,Outdoor,ID_2
4/13/2017 12:45,-0.3,Warmer,Indoor,ID_2
4/13/2017 13:50,0.3,No Change,Indoor,ID_2
4/13/2017 15:13,-0.5,Warmer,Indoor,ID_2
4/13/2017 16:23,-0.4,Warmer,Outdoor,ID_2
4/13/2017 17:36,0.3,No Change,Indoor,ID_2
4/13/2017 18:43,0.7,Cooler,Indoor,ID_2
4/13/2017 19:44,0.3,No Change,Indoor,ID_2
4/13/2017 20:46,0.5,Cooler,Indoor,ID_2
4/13/2017 22:28,0.6,No Change,Indoor,ID_2
4/14/2017 8:16,0.4,Cooler,Indoor,ID_2
4/14/2017 8:45,-0.4,No Change,Indoor,ID_2
4/14/2017 10:30,-1.2,Warmer,Indoor,ID_2
4/14/2017 15:44,0.4,No Change,Indoor,ID_2
4/14/2017 16:45,0.4,Cooler,Indoor,ID_2
4/14/2017 18:01,0.6,Warmer,Indoor,ID_2
4/14/2017 20:43,0.5,Cooler,Indoor,ID_2
4/14/2017 21:44,0.5,No Change,Indoor,ID_2
4/14/2017 22:50,0.4,Cooler,Indoor,ID_2
4/14/2017 23:46,-0.3,No Change,Indoor,ID_2
4/15/2017 7:56,-0.5,No Change,Outdoor,ID_2
4/15/2017 8:49,1.5,Cooler,Indoor,ID_2
4/15/2017 16:56,0.7,Cooler,Outdoor,ID_2
4/15/2017 17:22,-0.4,No Change,Outdoor,ID_2
4/15/2017 18:38,-0.4,Cooler,Outdoor,ID_2
4/15/2017 18:50,0.5,No Change,Indoor,ID_2
4/17/2017 8:23,0.6,Cooler,Indoor,ID_2
4/17/2017 8:45,1.5,Cooler,Indoor,ID_2
4/17/2017 10:04,0.6,Cooler,Indoor,ID_2
4/17/2017 10:44,-0.2,No Change,Indoor,ID_2
4/17/2017 11:08,-0.2,No Change,Indoor,ID_2
4/17/2017 12:13,-0.2,No Change,Indoor,ID_2
4/17/2017 12:58,-0.7,No Change,Outdoor,ID_2
4/17/2017 13:43,0.4,Cooler,Indoor,ID_2
4/17/2017 14:43,-0.4,No Change,Indoor,ID_2
4/17/2017 15:58,-0.4,No Change,Indoor,ID_2
4/17/2017 16:46,-0.3,No Change,Indoor,ID_2
4/17/2017 17:44,-0.6,No Change,Indoor,ID_2
4/19/2017 7:42,-0.3,No Change,Indoor,ID_2
4/19/2017 8:53,-0.3,No Change,Indoor,ID_2
4/19/2017 9:42,0.3,No Change,Indoor,ID_2
4/19/2017 11:14,0.3,No Change,Indoor,ID_2
4/19/2017 11:42,-0.4,No Change,Indoor,ID_2
4/19/2017 12:12,-0.5,Warmer,Indoor,ID_2
4/19/2017 12:58,-0.3,Warmer,Indoor,ID_2
4/19/2017 13:30,-0.2,No Change,Indoor,ID_2
4/19/2017 14:10,-0.1,No Change,Indoor,ID_2
4/19/2017 14:44,0.4,No Change,Indoor,ID_2
4/19/2017 15:24,0.3,No Change,Indoor,ID_2
4/19/2017 15:59,-0.3,No Change,Indoor,ID_2
4/19/2017 16:45,0.3,No Change,Indoor,ID_2
4/19/2017 17:46,0.4,Cooler,Indoor,ID_2
4/19/2017 17:46,0.4,Cooler,Indoor,ID_2
4/19/2017 18:19,0.2,Cooler,Indoor,ID_2
4/19/2017 18:45,0.1,Cooler,Indoor,ID_2
4/19/2017 20:35,0.2,No Change,Indoor,ID_2
4/19/2017 20:49,-0.3,Cooler,Indoor,ID_2
4/19/2017 21:46,0.3,No Change,Indoor,ID_2
4/19/2017 22:46,0.5,Cooler,Indoor,ID_2
4/19/2017 22:53,0.2,Cooler,Indoor,ID_2
4/19/2017 23:12,0.2,Cooler,Indoor,ID_2
4/20/2017 7:45,-0.3,No Change,Indoor,ID_2
4/20/2017 9:06,0.6,Cooler,Indoor,ID_2
4/20/2017 9:30,0.6,No Change,Indoor,ID_2
4/20/2017 9:46,-0.3,No Change,Indoor,ID_2
4/20/2017 10:27,-0.3,No Change,Indoor,ID_2
4/20/2017 11:46,-0.2,No Change,Indoor,ID_2
4/20/2017 12:43,-0.2,No Change,Indoor,ID_2
4/20/2017 13:48,0.2,No Change,Indoor,ID_2
4/20/2017 14:44,-0.5,No Change,Indoor,ID_2
4/20/2017 15:53,-0.3,Cooler,Indoor,ID_2
4/20/2017 17:24,-0.4,Warmer,Indoor,ID_2
4/20/2017 18:44,0.8,No Change,Outdoor,ID_2
4/20/2017 19:58,1.1,Cooler,Indoor,ID_2
4/20/2017 20:50,0.8,Cooler,Indoor,ID_2
4/20/2017 21:03,1.3,Cooler,Indoor,ID_2
4/20/2017 22:04,0.5,Cooler,Indoor,ID_2
4/20/2017 22:38,-0.2,No Change,Indoor,ID_2
4/20/2017 23:37,-0.3,No Change,Indoor,ID_2
4/21/2017 7:04,-0.1,No Change,Indoor,ID_2
4/21/2017 7:45,-0.3,No Change,Indoor,ID_2
4/21/2017 8:35,0.4,Cooler,Indoor,ID_2
4/21/2017 8:48,0.6,No Change,Indoor,ID_2
4/21/2017 9:59,-0.4,Warmer,Indoor,ID_2
4/21/2017 10:23,0.8,No Change,Outdoor,ID_2
4/21/2017 10:45,0.6,Cooler,Indoor,ID_2
4/21/2017 12:00,0.4,Cooler,Indoor,ID_2
4/21/2017 12:46,0.3,Cooler,Indoor,ID_2
4/21/2017 14:37,0.5,Cooler,Indoor,ID_2
4/21/2017 15:27,0.5,Cooler,Indoor,ID_2
4/21/2017 15:57,0.4,Cooler,Indoor,ID_2
4/21/2017 16:57,-0.3,No Change,Indoor,ID_2
4/21/2017 17:58,-0.5,No Change,Indoor,ID_2
4/21/2017 20:04,1.2,Cooler,Indoor,ID_2
4/21/2017 22:36,-0.3,No Change,Outdoor,ID_2
4/21/2017 23:10,0.4,Cooler,Indoor,ID_2
4/22/2017 0:46,0.3,No Change,Indoor,ID_2
4/22/2017 9:42,-0.4,No Change,Indoor,ID_2
4/22/2017 10:18,-0.2,No Change,Outdoor,ID_2
4/22/2017 10:55,-0.5,No Change,Outdoor,ID_2
4/22/2017 11:42,-0.3,No Change,Outdoor,ID_2
4/22/2017 13:03,-0.8,No Change,Outdoor,ID_2
4/22/2017 13:43,0.5,No Change,Outdoor,ID_2
4/22/2017 15:41,-0.4,Warmer,Indoor,ID_2
4/22/2017 16:00,-0.2,No Change,Indoor,ID_2
4/22/2017 17:04,0.3,No Change,Indoor,ID_2
4/22/2017 17:47,-0.2,No Change,Indoor,ID_2
4/22/2017 18:29,-0.4,Warmer,Indoor,ID_2
4/22/2017 18:54,-0.2,No Change,Indoor,ID_2
4/22/2017 21:22,-0.3,Warmer,Indoor,ID_2
4/22/2017 21:50,0.3,No Change,Indoor,ID_2
4/22/2017 22:33,0.3,No Change,Indoor,ID_2
4/22/2017 23:03,0.4,No Change,Indoor,ID_2
4/22/2017 23:50,0.1,No Change,Indoor,ID_2
5/1/2017 10:10,0,No Change,Indoor,ID_3
5/1/2017 10:35,0.6,No Change,Indoor,ID_3
5/1/2017 11:40,-0.1,No Change,Indoor,ID_3
5/1/2017 12:00,-0.1,No Change,Indoor,ID_3
5/1/2017 12:07,0.1,No Change,Indoor,ID_3
5/1/2017 13:11,0.4,No Change,Outdoor,ID_3
5/1/2017 13:16,1.7,Cooler,Outdoor,ID_3
5/1/2017 13:38,0.2,No Change,Indoor,ID_3
5/1/2017 13:56,1.7,Cooler,Outdoor,ID_3
5/1/2017 14:30,0,No Change,Indoor,ID_3
5/1/2017 15:03,2.1,Cooler,Outdoor,ID_3
5/1/2017 15:35,0,No Change,Indoor,ID_3
5/1/2017 16:10,-0.3,No Change,Indoor,ID_3
5/1/2017 16:36,-0.1,No Change,Indoor,ID_3
5/1/2017 16:57,-0.1,No Change,Indoor,ID_3
5/1/2017 17:17,1.7,Cooler,Outdoor,ID_3
5/1/2017 18:14,1,Cooler,Indoor,ID_3
5/1/2017 19:09,2.2,Cooler,Indoor,ID_3
5/1/2017 20:27,1.5,Cooler,Indoor,ID_3
5/1/2017 21:37,-0.1,No Change,Indoor,ID_3
5/1/2017 23:14,1,Cooler,Indoor,ID_3
5/2/2017 0:17,0.1,Cooler,Indoor,ID_3
5/2/2017 9:06,-0.4,No Change,Indoor,ID_3
5/2/2017 9:43,1.7,Cooler,Outdoor,ID_3
5/2/2017 10:04,0.6,Cooler,Indoor,ID_3
5/2/2017 10:45,0.4,No Change,Indoor,ID_3
5/2/2017 11:35,0.9,Cooler,Indoor,ID_3
5/2/2017 12:12,0.4,No Change,Indoor,ID_3
5/2/2017 12:37,0.8,Cooler,Outdoor,ID_3
5/2/2017 13:09,0.5,Cooler,Indoor,ID_3
5/2/2017 13:37,0.4,No Change,Indoor,ID_3
5/2/2017 14:22,0.2,No Change,Indoor,ID_3
5/2/2017 14:41,1.6,Cooler,Outdoor,ID_3
5/2/2017 14:47,2.6,Cooler,Outdoor,ID_3
5/2/2017 15:57,0.2,No Change,Indoor,ID_3
5/2/2017 16:33,0.4,No Change,Indoor,ID_3
5/2/2017 17:22,0.5,No Change,Indoor,ID_3
5/2/2017 18:12,1.1,Cooler,Indoor,ID_3
5/2/2017 19:56,0.9,Cooler,Indoor,ID_3
5/2/2017 20:06,0.8,Cooler,Indoor,ID_3
5/2/2017 20:29,0.2,No Change,Indoor,ID_3
5/2/2017 23:19,0.7,Cooler,Indoor,ID_3
5/3/2017 8:24,-1,No Change,Indoor,ID_3
5/3/2017 9:04,-0.4,No Change,Indoor,ID_3
5/3/2017 10:33,-0.8,Warmer,Indoor,ID_3
5/3/2017 11:21,-0.2,No Change,Indoor,ID_3
5/3/2017 11:31,0.1,No Change,Outdoor,ID_3
5/3/2017 11:59,1.7,Cooler,Outdoor,ID_3
5/3/2017 12:14,0.7,Cooler,Indoor,ID_3
5/3/2017 12:52,0.3,No Change,Indoor,ID_3
5/3/2017 13:11,2.1,Cooler,Outdoor,ID_3
5/3/2017 13:48,2.1,Cooler,Outdoor,ID_3
5/3/2017 14:08,2.3,Cooler,Outdoor,ID_3
5/3/2017 15:13,0.6,Cooler,Indoor,ID_3
5/3/2017 15:35,0.5,Cooler,Indoor,ID_3
5/3/2017 16:20,0,No Change,Indoor,ID_3
5/3/2017 17:11,0.6,Cooler,Indoor,ID_3
5/3/2017 17:54,0.6,Cooler,Indoor,ID_3
5/3/2017 18:14,0.3,No Change,Indoor,ID_3
5/3/2017 19:50,-0.2,No Change,Indoor,ID_3
